             cycle,               upl,                 volu,                b,                   Apz,                 Ages,                dupl,                epx,                 epy,                 epz,                 epxy,                epyz,                epxz    
        1.0000000000,        0.0000011749,        1,        0.0000000000,        0.0100000000,        0.2000000000,        0.0000011749,        0.0000004884,        0.0000006749,       -0.0000011633,       -0.0000061708,        0.0000002145,       -0.0000009001
        2.0000000000,        0.0000000000,        1,        0.0000000000,        0.0000000000,        0.4000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000
        3.0000000000,        0.0000000000,        1,        0.0000000000,        0.0000000000,        0.6000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000
        4.0000000000,        0.0000000000,        1,        0.0000000000,        0.0000000000,        0.8000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000
        5.0000000000,        0.0000000000,        1,        0.0000000000,        0.0000000000,        1.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000
        6.0000000000,        0.0000000000,        1,        0.0000000000,        0.0000000000,        1.2000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000
        7.0000000000,        0.0000000000,        1,        0.0000000000,        0.0000000000,        1.4000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000,        0.0000000000
        8.0000000000,        0.0000061830,        1,        0.0000000000,        0.0100000000,        1.6000000000,        0.0000030386,        0.0000092277,       -0.0000069985,       -0.0000022291,        0.0000026545,        0.0000006095,        0.0000010236
        9.0000000000,        0.0000105895,        1,        0.0000000000,        0.0100000000,        1.8000000000,        0.0000043242,        0.0000131686,       -0.0000098864,       -0.0000032823,        0.0000036803,        0.0000008385,        0.0000014433
       10.0000000000,        0.0000142907,        1,        0.0000000000,        0.0100000000,        2.0000000000,        0.0000036217,        0.0000110546,       -0.0000082224,       -0.0000028322,        0.0000030188,        0.0000006820,        0.0000011998
       11.0000000000,        0.0000180123,        1,        0.0000000000,        0.0100000000,        2.2000000000,        0.0000036673,        0.0000112115,       -0.0000083162,       -0.0000028953,        0.0000028714,        0.0000006552,        0.0000012406
       12.0000000000,        0.0000237182,        1,        0.0000000000,        0.0100000000,        2.4000000000,        0.0000056869,        0.0000174001,       -0.0000129746,       -0.0000044255,        0.0000039406,        0.0000009345,        0.0000020262
       13.0000000000,        0.0000286046,        1,        0.0000000000,        0.0100000000,        2.6000000000,        0.0000048865,        0.0000149719,       -0.0000110925,       -0.0000038794,        0.0000033574,        0.0000007899,        0.0000017312
       14.0000000000,        0.0000328085,        1,        0.0000000000,        0.0100000000,        2.8000000000,        0.0000042039,        0.0000128961,       -0.0000095001,       -0.0000033960,        0.0000028668,        0.0000006697,        0.0000014827
       15.0000000000,        0.0000364402,        1,        0.0000000000,        0.0100000000,        3.0000000000,        0.0000036317,        0.0000111525,       -0.0000081736,       -0.0000029790,        0.0000024612,        0.0000005712,        0.0000012762
       16.0000000000,        0.0000408701,        1,        0.0000000000,        0.0200000000,        3.2000000000,        0.0000044299,        0.0000136258,       -0.0000099987,       -0.0000036270,        0.0000026252,        0.0000007418,        0.0000015124
       17.0000000000,        0.0000448678,        1,        0.0000000000,        0.0200000000,        3.4000000000,        0.0000039977,        0.0000123071,       -0.0000089999,       -0.0000033072,        0.0000023293,        0.0000006684,        0.0000013557
       18.0000000000,        0.0000491005,        1,        0.0000000000,        0.0200000000,        3.6000000000,        0.0000042327,        0.0000130433,       -0.0000095383,       -0.0000035050,        0.0000022455,        0.0000007154,        0.0000014204
       19.0000000000,        0.0720723182,        1,        0.0368421053,        0.1100000000,        3.8000000000,        0.0000163650,        0.0000328707,       -0.0000279618,       -0.0000049090,        0.0000027140,        0.0000010815,        0.0000010351
       20.0000000000,        0.2163483976,        0.0261566060,        0.1175000000,        0.2900000000,        4.0000000000,        0.0001143125,        0.0002755885,       -0.0002512672,       -0.0000243214,        0.0000262555,        0.0000059765,       -0.0000066085
