             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        9.4619102478,       68.5821528731,        0.0221160337,       64.0715345148,      -11.3345753017,       24.8749344407,       10.6659068670,        0.7707629056,       -5.5872782026,       -0.0006069623,        0.0172332726,       -0.0162289010,       -0.0080573332,        0.0002928142,        0.0001503405,       -0.0002578258,       -0.0001235804,        0.0000000000
             0.00769,        9.6550717426,       68.3619188886,        0.0220892568,       63.1585016745,      -11.5852516140,       24.5267738015,       10.5916989265,        1.0044561710,       -6.8851091086,       -0.0006071149,        0.0172040547,       -0.0162072719,       -0.0080285256,        0.0003566404,        0.0001806559,       -0.0002569212,       -0.0001254694,       -0.0001253426
             0.01538,        9.8482332374,       68.2233568658,        0.0220624799,       62.2454688342,      -11.8359279262,       24.1786131623,       10.5174909861,        1.2381494364,       -8.1829400146,       -0.0006072675,        0.0171748368,       -0.0161856428,       -0.0079997180,        0.0004204665,        0.0002109713,       -0.0002560166,       -0.0001273585,       -0.0002506851
             0.02308,       10.0413947322,       68.1669648469,        0.0220357031,       61.3324359939,      -12.0866042385,       23.8304525232,       10.4432830457,        1.4718427019,       -9.4807709205,       -0.0006074201,        0.0171456189,       -0.0161640138,       -0.0079709103,        0.0004842927,        0.0002412867,       -0.0002551119,       -0.0001292476,       -0.0003760277
             0.03077,       10.2345562270,       68.1929466832,        0.0220089262,       60.4194031535,      -12.3372805508,       23.4822918840,       10.3690751052,        1.7055359673,      -10.7786018265,       -0.0006075727,        0.0171164010,       -0.0161423847,       -0.0079421027,        0.0005481189,        0.0002716021,       -0.0002542073,       -0.0001311367,       -0.0005013703
             0.03846,       10.4277177218,       68.3012083695,        0.0219821493,       59.5063703132,      -12.5879568630,       23.1341312448,       10.2948671648,        1.9392292327,      -12.0764327324,       -0.0006077252,        0.0170871831,       -0.0161207556,       -0.0079132951,        0.0006119451,        0.0003019175,       -0.0002533027,       -0.0001330257,       -0.0006267128
             0.04615,       10.6208792166,       68.4913597370,        0.0219553725,       58.5933374729,      -12.8386331753,       22.7859706056,       10.2206592244,        2.1729224982,      -13.3742636384,       -0.0006078778,        0.0170579652,       -0.0160991266,       -0.0078844875,        0.0006757712,        0.0003322329,       -0.0002523980,       -0.0001349148,       -0.0007520554
             0.05385,       10.9202580163,       68.5976006039,        0.0219095952,       57.4011916547,      -13.1612669718,       22.3559944033,       10.1267085803,        2.3934731555,      -14.6792694044,       -0.0006079343,        0.0170113154,       -0.0160623783,       -0.0078446862,        0.0007394929,        0.0003636035,       -0.0002504327,       -0.0001384887,       -0.0008757695
             0.06154,       11.3789627733,       68.5479245785,        0.0218353175,       55.7903763696,      -13.5918369947,       21.8032948565,       10.0031438807,        2.5943099007,      -15.9950374604,       -0.0006078467,        0.0169385178,       -0.0160029513,       -0.0077883946,        0.0008030576,        0.0003965568,       -0.0002468764,       -0.0001445899,       -0.0009970408
             0.06923,       11.8376675302,       68.5948519797,        0.0217610397,       54.1795610846,      -14.0224070176,       21.2505953096,        9.8795791811,        2.7951466460,      -17.3108055165,       -0.0006077591,        0.0168657202,       -0.0159435242,       -0.0077321029,        0.0008666224,        0.0004295102,       -0.0002433201,       -0.0001506911,       -0.0011183121
             0.07692,       12.2963722872,       68.7381849549,        0.0216867620,       52.5687457995,      -14.4529770405,       20.6978957627,        9.7560144815,        2.9959833912,      -18.6265735725,       -0.0006076714,        0.0167929226,       -0.0158840972,       -0.0076758113,        0.0009301872,        0.0004624636,       -0.0002397639,       -0.0001567923,       -0.0012395834
             0.08462,       12.7550770442,       68.9773225222,        0.0216124842,       50.9579305145,      -14.8835470634,       20.1451962158,        9.6324497819,        3.1968201365,      -19.9423416285,       -0.0006075838,        0.0167201250,       -0.0158246701,       -0.0076195196,        0.0009937520,        0.0004954170,       -0.0002362076,       -0.0001628935,       -0.0013608547
             0.09231,       13.2137818011,       69.3112730547,        0.0215382065,       49.3471152294,      -15.3141170863,       19.5924966689,        9.5088850823,        3.3976568817,      -21.2581096846,       -0.0006074961,        0.0166473273,       -0.0157652431,       -0.0075632279,        0.0010573167,        0.0005283703,       -0.0002326513,       -0.0001689947,       -0.0014821260
             0.10000,       13.6724865581,       69.7386745018,        0.0214639287,       47.7362999444,      -15.7446871092,       19.0397971221,        9.3853203827,        3.5984936269,      -22.5738777406,       -0.0006074085,        0.0165745297,       -0.0157058160,       -0.0075069363,        0.0011208815,        0.0005613237,       -0.0002290950,       -0.0001750959,       -0.0016033973
             0.10769,       14.1311913151,       70.2578214062,        0.0213896510,       46.1254846593,      -16.1752571321,       18.4870975752,        9.2617556831,        3.7993303722,      -23.8896457966,       -0.0006073209,        0.0165017321,       -0.0156463890,       -0.0074506446,        0.0011844463,        0.0005942771,       -0.0002255387,       -0.0001811971,       -0.0017246687
             0.11538,       14.5898960720,       70.8666975024,        0.0213153732,       44.5146693743,      -16.6058271550,       17.9343980283,        9.1381909834,        4.0001671174,      -25.2054138527,       -0.0006072332,        0.0164289345,       -0.0155869620,       -0.0073943530,        0.0012480110,        0.0006272304,       -0.0002219824,       -0.0001872983,       -0.0018459400
             0.12308,       15.0486008290,       71.5630125116,        0.0212410955,       42.9038540892,      -17.0363971779,       17.3816984814,        9.0146262838,        4.2010038626,      -26.5211819087,       -0.0006071456,        0.0163561369,       -0.0155275349,       -0.0073380613,        0.0013115758,        0.0006601838,       -0.0002184261,       -0.0001933995,       -0.0019672113
             0.13077,       15.5073055860,       72.3442416731,        0.0211668177,       41.2930388042,      -17.4669672008,       16.8289989345,        8.8910615842,        4.4018406079,      -27.8369499647,       -0.0006070579,        0.0162833392,       -0.0154681079,       -0.0072817696,        0.0013751406,        0.0006931372,       -0.0002148698,       -0.0001995007,       -0.0020884826
             0.13846,       15.9660103429,       73.2076665756,        0.0210925400,       39.6822235191,      -17.8975372237,       16.2762993877,        8.7674968846,        4.6026773531,      -29.1527180208,       -0.0006069703,        0.0162105416,       -0.0154086808,       -0.0072254780,        0.0014387054,        0.0007260906,       -0.0002113135,       -0.0002056019,       -0.0022097539
             0.14615,       16.4247150999,       74.1504159551,        0.0210182622,       38.0714082341,      -18.3281072466,       15.7235998408,        8.6439321850,        4.8035140984,      -30.4684860768,       -0.0006068827,        0.0161377440,       -0.0153492538,       -0.0071691863,        0.0015022701,        0.0007590439,       -0.0002077573,       -0.0002117031,       -0.0023310252
             0.15385,       16.9594667102,       74.9936524263,        0.0209375435,       36.2802917270,      -18.8158523862,       15.1287932823,        8.4856653171,        4.9797868945,      -31.7071419297,       -0.0006067773,        0.0160600670,       -0.0152863967,       -0.0071061424,        0.0015636478,        0.0007910335,       -0.0002035745,       -0.0002188820,       -0.0024506616
             0.16154,       17.7984057340,       75.2111110524,        0.0208310607,       33.7679703320,      -19.5322979927,       14.3655586776,        8.1885897756,        5.0578038945,      -32.6373489701,       -0.0006066010,        0.0159628726,       -0.0152098195,       -0.0070160897,        0.0016162769,        0.0008191676,       -0.0001968861,       -0.0002303721,       -0.0025637583
             0.16923,       18.6373447577,       75.5077410926,        0.0207245778,       31.2556489370,      -20.2487435992,       13.6023240729,        7.8915142342,        5.1358208944,      -33.5675560105,       -0.0006064247,        0.0158656782,       -0.0151332424,       -0.0069260370,        0.0016689060,        0.0008473018,       -0.0001901976,       -0.0002418621,       -0.0026768550
             0.17692,       19.4762837815,       75.8826140939,        0.0206180950,       28.7433275420,      -20.9651892056,       12.8390894681,        7.5944386928,        5.2138378944,      -34.4977630509,       -0.0006062484,        0.0157684837,       -0.0150566652,       -0.0068359843,        0.0017215351,        0.0008754359,       -0.0001835091,       -0.0002533522,       -0.0027899517
             0.18462,       20.3152228052,       76.3345773305,        0.0205116122,       26.2310061469,      -21.6816348121,       12.0758548634,        7.2973631513,        5.2918548943,      -35.4279700913,       -0.0006060722,        0.0156712893,       -0.0149800880,       -0.0067459315,        0.0017741642,        0.0009035701,       -0.0001768206,       -0.0002648422,       -0.0029030484
             0.19231,       21.1541618289,       76.8622709031,        0.0204051294,       23.7186847519,      -22.3980804185,       11.3126202587,        7.0002876099,        5.3698718942,      -36.3581771317,       -0.0006058959,        0.0155740949,       -0.0149035108,       -0.0066558788,        0.0018267933,        0.0009317043,       -0.0001701322,       -0.0002763323,       -0.0030161451
             0.20000,       21.9931008527,       77.4641471792,        0.0202986466,       21.2063633569,      -23.1145260250,       10.5493856539,        6.7032120685,        5.4478888942,      -37.2883841721,       -0.0006057196,        0.0154769005,       -0.0148269337,       -0.0065658261,        0.0018794224,        0.0009598384,       -0.0001634437,       -0.0002878223,       -0.0031292418
             0.20769,       22.8320398764,       78.1384919593,        0.0201921638,       18.6940419619,      -23.8309716314,        9.7861510492,        6.4061365270,        5.5259058941,      -38.2185912125,       -0.0006055433,        0.0153797060,       -0.0147503565,       -0.0064757734,        0.0019320515,        0.0009879726,       -0.0001567552,       -0.0002993124,       -0.0032423385
             0.21538,       23.6709789002,       78.8834467479,        0.0200856809,       16.1817205669,      -24.5474172379,        9.0229164445,        6.1090609856,        5.6039228941,      -39.1487982529,       -0.0006053670,        0.0152825116,       -0.0146737793,       -0.0063857207,        0.0019846806,        0.0010161067,       -0.0001500668,       -0.0003108024,       -0.0033554352
             0.22308,       24.5099179239,       79.6970315233,        0.0199791981,       13.6693991719,      -25.2638628444,        8.2596818397,        5.8119854442,        5.6819398940,      -40.0790052933,       -0.0006051907,        0.0151853172,       -0.0145972022,       -0.0062956679,        0.0020373097,        0.0010442409,       -0.0001433783,       -0.0003222925,       -0.0034685319
             0.23077,       25.3488569476,       80.5771674490,        0.0198727153,       11.1570777768,      -25.9803084508,        7.4964472350,        5.5149099028,        5.7599568939,      -41.0092123337,       -0.0006050144,        0.0150881228,       -0.0145206250,       -0.0062056152,        0.0020899389,        0.0010723751,       -0.0001366898,       -0.0003337825,       -0.0035816285
             0.23846,       26.1877959714,       81.5216990269,        0.0197662325,        8.6447563818,      -26.6967540573,        6.7332126303,        5.2178343613,        5.8379738939,      -41.9394193741,       -0.0006048382,        0.0149909283,       -0.0144440478,       -0.0061155625,        0.0021425680,        0.0011005092,       -0.0001300013,       -0.0003452726,       -0.0036947252
             0.24615,       27.0267349951,       82.5284152764,        0.0196597497,        6.1324349868,      -27.4131996637,        5.9699780256,        4.9207588199,        5.9159908938,      -42.8696264145,       -0.0006046619,        0.0148937339,       -0.0143674706,       -0.0060255098,        0.0021951971,        0.0011286434,       -0.0001233129,       -0.0003567626,       -0.0038078219
             0.25385,       27.8656740189,       83.5950696004,        0.0195532669,        3.6201135918,      -28.1296452702,        5.2067434208,        4.6236832785,        5.9940078937,      -43.7998334549,       -0.0006044856,        0.0147965395,       -0.0142908935,       -0.0059354570,        0.0022478262,        0.0011567775,       -0.0001166244,       -0.0003682527,       -0.0039209186
             0.26154,       28.8708106966,       82.8170005910,        0.0193198211,        1.8268548618,      -28.8015015505,        4.8175448606,        3.9756268568,        5.7837078134,      -43.4827343883,       -0.0006043034,        0.0146090033,       -0.0141181549,       -0.0058454732,        0.0022395854,        0.0011429634,       -0.0001086396,       -0.0003824354,       -0.0040245843
             0.26923,       29.8759473743,       82.0723635974,        0.0190863753,        0.0335961318,      -29.4733578307,        4.4283463004,        3.3275704352,        5.5734077331,      -43.1656353217,       -0.0006041212,        0.0144214671,       -0.0139454164,       -0.0057554893,        0.0022313447,        0.0011291493,       -0.0001006548,       -0.0003966181,       -0.0041282501
             0.27692,       30.8810840520,       81.3620765483,        0.0188529295,       -1.7596625982,      -30.1452141110,        4.0391477402,        2.6795140135,        5.3631076528,      -42.8485362551,       -0.0006039389,        0.0142339308,       -0.0137726779,       -0.0056655054,        0.0022231039,        0.0011153351,       -0.0000926701,       -0.0004108007,       -0.0042319158
             0.28462,       31.8862207297,       80.6870465952,        0.0186194837,       -3.5529213282,      -30.8170703912,        3.6499491800,        2.0314575919,        5.1528075724,      -42.5314371885,       -0.0006037567,        0.0140463946,       -0.0135999393,       -0.0055755215,        0.0022148632,        0.0011015210,       -0.0000846853,       -0.0004249834,       -0.0043355815
